line_index,raw_line,subframe_index,start_byte,end_byte,uid,pdu_hex,crc_calc,valid
463,01 03 20 00 12 B0 6A 00 00 00 00 00 12 B2 DE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 99 40 FD F7 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 B0 6A 00 00 00 00 00 12 B2 DE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 99 40,F7FD,OK
463,01 03 20 00 12 B0 6A 00 00 00 00 00 12 B2 DE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 99 40 FD F7 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
467,03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B 5D 0A 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,45,52,1,03 61 B4 00 01,D0DB,OK
467,03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B 5D 0A 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,53,59,1,03 02 00 7C,A5B9,OK
469,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
471,01 03 24 00 00 53 FD 00 00 54 0B 00 00 53 69 00 02 E6 F5 00 02 E8 F8 00 02 E9 09 00 05 07 10 00 05 0B 6F 00 05 09 30 DA 81 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 53 FD 00 00 54 0B 00 00 53 69 00 02 E6 F5 00 02 E8 F8 00 02 E9 09 00 05 07 10 00 05 0B 6F 00 05 09 30,81DA,OK
471,01 03 24 00 00 53 FD 00 00 54 0B 00 00 53 69 00 02 E6 F5 00 02 E8 F8 00 02 E9 09 00 05 07 10 00 05 0B 6F 00 05 09 30 DA 81 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
473,01 03 20 00 12 B2 A0 00 00 00 00 00 12 B3 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5A B0 64 FA 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 B2 A0 00 00 00 00 00 12 B3 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5A B0,FA64,OK
473,01 03 20 00 12 B2 A0 00 00 00 00 00 12 B3 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5A B0 64 FA 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
477,03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B 8C 8C 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,45,52,1,03 61 B4 00 01,D0DB,OK
