line,uid,fc,interpretation,pdu
325,1,3,"FC3 response: 16 reg(s) [18, 46852, 0, 0, 18, 48040]",03 20 00 12 B7 04 00 00 00 00 00 12 BB A8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D2 FE
325,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
329,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
329,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
331,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
333,1,3,"FC3 response: 18 reg(s) [0, 21429, 0, 21375, 0, 21116]",03 24 00 00 53 B5 00 00 53 7F 00 00 52 7C 00 02 E4 AB 00 02 E8 7E 00 02 E9 54 00 05 03 BD 00 05 0C 83 00 05 07 27
333,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
335,1,3,"FC3 response: 16 reg(s) [18, 36401, 0, 0, 18, 36739]",03 20 00 12 8E 31 00 00 00 00 00 12 8F 83 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 70 05
337,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
343,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
343,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
345,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
347,1,3,"FC3 response: 18 reg(s) [0, 21439, 0, 21481, 0, 21277]",03 24 00 00 53 BF 00 00 53 E9 00 00 53 1D 00 02 E7 BD 00 02 E9 DC 00 02 E9 08 00 05 09 02 00 05 0C 08 00 05 09 89
347,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
349,1,3,"FC3 response: 16 reg(s) [18, 42850, 0, 0, 18, 43160]",03 20 00 12 A7 62 00 00 00 00 00 12 A8 98 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6B 95
349,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
353,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
353,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
355,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
357,1,3,"FC3 response: 18 reg(s) [0, 21547, 0, 21593, 0, 21339]",03 24 00 00 54 2B 00 00 54 59 00 00 53 5B 00 02 E8 6C 00 02 E9 EF 00 02 E8 86 00 05 0A 2F 00 05 0B 29 00 05 09 AC
357,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
359,1,3,"FC3 response: 16 reg(s) [18, 47077, 0, 0, 18, 48072]",03 20 00 12 B7 E5 00 00 00 00 00 12 BB C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C1 1A
359,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
363,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
363,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
365,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
367,1,3,"FC3 response: 18 reg(s) [0, 21526, 0, 21532, 0, 21247]",03 24 00 00 54 16 00 00 54 1C 00 00 52 FF 00 02 E6 55 00 02 E9 39 00 02 E9 EA 00 05 06 36 00 05 0D 1F 00 05 09 3D
367,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
369,1,3,"FC3 response: 16 reg(s) [18, 44236, 0, 0, 18, 45202]",03 20 00 12 AC CC 00 00 00 00 00 12 B0 92 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BD FC
371,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
377,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
377,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
379,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
381,1,3,"FC3 response: 18 reg(s) [0, 21375, 0, 21403, 0, 21224]",03 24 00 00 53 7F 00 00 53 9B 00 00 52 E8 00 02 E5 0C 00 02 E9 06 00 02 E8 84 00 05 05 44 00 05 0B F9 00 05 06 56
383,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
385,1,3,"FC3 response: 16 reg(s) [18, 38008, 0, 0, 18, 38189]",03 20 00 12 94 78 00 00 00 00 00 12 95 2D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 03
385,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
389,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
389,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
391,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
393,1,3,"FC3 response: 18 reg(s) [0, 21430, 0, 21470, 0, 21304]",03 24 00 00 53 B6 00 00 53 DE 00 00 53 38 00 02 E7 C5 00 02 EA 08 00 02 E9 2D 00 05 09 29 00 05 0C 5E 00 05 09 A6
393,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
395,1,3,"FC3 response: 16 reg(s) [18, 43303, 0, 0, 18, 43587]",03 20 00 12 A9 27 00 00 00 00 00 12 AA 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 F4
395,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
399,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
399,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
401,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
